epoch,train_loss,train_acc,val_loss,val_acc,val_macro_precision,val_macro_recall,val_macro_f1,negative_precision,negative_recall,negative_f1,neutral_precision,neutral_recall,neutral_f1,positive_precision,positive_recall,positive_f1
1,0.6111,74.77,0.3237,87.73,0.8676,0.8940,0.8776,0.8952,0.9174,0.9061,0.9461,0.8524,0.8968,0.7615,0.9121,0.8300
2,0.2688,90.12,0.2897,88.14,0.8546,0.8814,0.8659,0.7958,0.9339,0.8593,0.9159,0.9080,0.9119,0.8521,0.8022,0.8264
3,0.1363,95.67,0.3499,86.70,0.8268,0.8782,0.8476,0.7325,0.9504,0.8273,0.9301,0.8785,0.9036,0.8178,0.8059,0.8118
4,0.0774,97.55,0.3786,89.07,0.8636,0.8972,0.8770,0.7905,0.9669,0.8699,0.9227,0.9115,0.9170,0.8775,0.8132,0.8441
5,0.0507,98.58,0.3895,88.76,0.8727,0.8718,0.8717,0.8492,0.8843,0.8664,0.9068,0.9288,0.9177,0.8622,0.8022,0.8311
6,0.0430,98.66,0.5536,84.95,0.8149,0.8791,0.8403,0.7500,0.9421,0.8352,0.9400,0.8160,0.8736,0.7547,0.8791,0.8122
7,0.0334,98.92,0.6239,84.64,0.8258,0.8758,0.8449,0.8188,0.9339,0.8726,0.9434,0.8108,0.8721,0.7151,0.8828,0.7902
8,0.0227,99.30,0.5053,88.14,0.8850,0.8699,0.8762,0.9450,0.8512,0.8957,0.9134,0.8976,0.9054,0.7966,0.8608,0.8275
9,0.0163,99.36,0.5391,88.76,0.8908,0.8732,0.8815,0.9375,0.8678,0.9013,0.9057,0.9167,0.9111,0.8291,0.8352,0.8321
10,0.0252,99.15,0.5640,88.56,0.8746,0.8924,0.8830,0.8889,0.9256,0.9069,0.9241,0.8872,0.9052,0.8110,0.8645,0.8369
